"","LIVER, MALE2","TransferredDose_SOBP_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"63.30","7.66621"
"63.40","7.66258"
"63.50","7.65903"
"63.60","7.6557"
"63.70","7.65183"
"63.80","7.64827"
"63.90","7.64488"
"64.00","7.6415"
"64.10","7.6381"
"64.20","7.6349"
"64.30","7.6316"
"64.40","7.62802"
"64.50","7.6244"
"64.60","7.621"
"64.70","7.61764"
"64.80","7.61419"
"64.90","7.61077"
"65.00","7.60746"
"65.10","7.60396"
"65.20","7.60053"
"65.30","7.5971"
"65.40","7.59385"
"65.50","7.59031"
"65.60","7.58688"
"65.70","7.58333"
"65.80","7.58004"
"65.90","7.57654"
"66.00","7.57303"
"66.10","7.56976"
"66.20","7.56617"
"66.30","7.56248"
"66.40","7.55892"
"66.50","7.55546"
"66.60","7.55219"
"66.70","7.54871"
"66.80","7.5451"
"66.90","7.54192"
"67.00","7.53847"
"67.10","7.53494"
"67.20","7.53147"
"67.30","7.52808"
"67.40","7.52455"
"67.50","7.5212"
"67.60","7.51761"
"67.70","7.5139"
"67.80","7.51035"
"67.90","7.50706"
"68.00","7.50353"
"68.10","7.50004"
"68.20","7.49667"
"68.30","7.49293"
"68.40","7.48922"
"68.50","7.48547"
"68.60","7.48171"
"68.70","7.47837"
"68.80","7.47456"
"68.90","7.47109"
"69.00","7.46758"
"69.10","7.46428"
"69.20","7.46072"
"69.30","7.45724"
"69.40","7.45343"
"69.50","7.44959"
"69.60","7.44609"
"69.70","7.44259"
"69.80","7.43905"
"69.90","7.4356"
"70.00","7.43184"
"70.10","7.42822"
"70.20","7.4245"
"70.30","7.42092"
"70.40","7.41719"
"70.50","7.41374"
"70.60","7.41044"
"70.70","7.40691"
"70.80","7.4031"
"70.90","7.39925"
"71.00","7.39549"
"71.10","7.39175"
"71.20","7.38791"
"71.30","7.38411"
"71.40","7.38033"
"71.50","7.37669"
"71.60","7.37299"
"71.70","7.36914"
"71.80","7.36532"
"71.90","7.36166"
"72.00","7.35782"
"72.10","7.35415"
"72.20","7.35042"
"72.30","7.34672"
"72.40","7.34303"
"72.50","7.33939"
"72.60","7.33552"
"72.70","7.33178"
"72.80","7.32814"
"72.90","7.32419"
"73.00","7.3204"
"73.10","7.31636"
"73.20","7.31259"
"73.30","7.30883"
"73.40","7.30515"
"73.50","7.30106"
"73.60","7.29745"
"73.70","7.29378"
"73.80","7.28975"
"73.90","7.28573"
"74.00","7.28171"
"74.10","7.27776"
"74.20","7.27395"
"74.30","7.27011"
"74.40","7.26646"
"74.50","7.26226"
"74.60","7.25844"
"74.70","7.25482"
"74.80","7.25091"
"74.90","7.24681"
"75.00","7.24273"
"75.10","7.2387"
"75.20","7.2348"
"75.30","7.23081"
"75.40","7.22678"
"75.50","7.22273"
"75.60","7.21869"
"75.70","7.2146"
"75.80","7.21035"
"75.90","7.20607"
"76.00","7.20214"
"76.10","7.1981"
"76.20","7.19419"
"76.30","7.19009"
"76.40","7.18619"
"76.50","7.18227"
"76.60","7.17831"
"76.70","7.17431"
"76.80","7.17009"
"76.90","7.16582"
"77.00","7.16175"
"77.10","7.15762"
"77.20","7.15319"
"77.30","7.14894"
"77.40","7.14475"
"77.50","7.14072"
"77.60","7.13657"
"77.70","7.13248"
"77.80","7.12854"
"77.90","7.12452"
"78.00","7.12032"
"78.10","7.11603"
"78.20","7.11151"
"78.30","7.10725"
"78.40","7.10296"
"78.50","7.0987"
"78.60","7.0946"
"78.70","7.09031"
"78.80","7.08623"
"78.90","7.08225"
"79.00","7.07774"
"79.10","7.07329"
"79.20","7.06893"
"79.30","7.06468"
"79.40","7.06031"
"79.50","7.05594"
"79.60","7.05144"
"79.70","7.04724"
"79.80","7.04281"
"79.90","7.03851"
"80.00","7.03407"
"80.10","7.02977"
"80.20","7.02559"
"80.30","7.02105"
"80.40","7.01648"
"80.50","7.0122"
"80.60","7.00781"
"80.70","7.00304"
"80.80","6.99864"
"80.90","6.9941"
"81.00","6.98957"
"81.10","6.98533"
"81.20","6.98106"
"81.30","6.97652"
"81.40","6.97189"
"81.50","6.96726"
"81.60","6.9629"
"81.70","6.9581"
"81.80","6.95391"
"81.90","6.94931"
"82.00","6.94436"
"82.10","6.93983"
"82.20","6.93512"
"82.30","6.93049"
"82.40","6.92585"
"82.50","6.92126"
"82.60","6.9166"
"82.70","6.9119"
"82.80","6.90702"
"82.90","6.90229"
"83.00","6.89761"
"83.10","6.89283"
"83.20","6.88807"
"83.30","6.88317"
"83.40","6.87849"
"83.50","6.87378"
"83.60","6.86891"
"83.70","6.86402"
"83.80","6.85902"
"83.90","6.85424"
"84.00","6.84932"
"84.10","6.84474"
"84.20","6.83958"
"84.30","6.8346"
"84.40","6.82946"
"84.50","6.82451"
"84.60","6.81969"
"84.70","6.81454"
"84.80","6.80956"
"84.90","6.80449"
"85.00","6.79977"
"85.10","6.79474"
"85.20","6.7897"
"85.30","6.78469"
"85.40","6.77944"
"85.50","6.77467"
"85.60","6.76937"
"85.70","6.76416"
"85.80","6.75895"
"85.90","6.75371"
"86.00","6.74829"
"86.10","6.74295"
"86.20","6.73797"
"86.30","6.73288"
"86.40","6.72772"
"86.50","6.72248"
"86.60","6.7172"
"86.70","6.71198"
"86.80","6.70662"
"86.90","6.70135"
"87.00","6.69616"
"87.10","6.69075"
"87.20","6.68515"
"87.30","6.67963"
"87.40","6.67448"
"87.50","6.669"
"87.60","6.66343"
"87.70","6.65821"
"87.80","6.65273"
"87.90","6.64728"
"88.00","6.64162"
"88.10","6.63619"
"88.20","6.63049"
"88.30","6.62448"
"88.40","6.61892"
"88.50","6.61361"
"88.60","6.60797"
"88.70","6.60227"
"88.80","6.59666"
"88.90","6.59084"
"89.00","6.5851"
"89.10","6.57896"
"89.20","6.57317"
"89.30","6.56737"
"89.40","6.56152"
"89.50","6.55572"
"89.60","6.5498"
